      73 text files.
classified 73 files      73 unique files.                              
       1 file ignored.

github.com/AlDanial/cloc v 1.82  T=0.10 s (702.6 files/s, 82373.2 lines/s)
------------------------------------------------------------------------------------
File                                             blank        comment           code
------------------------------------------------------------------------------------
./asteroids/final_boss.c                            58             17            462
./asteroids/upgrades.c                              59             12            431
./asteroids/enemy.c                                 79             13            388
./asteroids/particle.c                              50             98            324
./asteroids/game.c                                  77             36            303
./asteroids/main_menu.c                             66             16            289
./asteroids/obstacles.c                             51             16            263
./asteroids/powerups.c                              40             16            252
./asteroids/player.c                                46             20            244
./asteroids/leaderboard.c                           33             14            221
./asteroids/help.c                                  39             13            200
./asteroids/upgrades_menu.c                         31             12            195
./asteroids/button.c                                31              9            184
./asteroids/bigboy.c                                43             20            177
./asteroids/bullet.c                                27             18            159
./asteroids/collision_manager.c                     27             10            141
./asteroids/utility.c                               36             23            139
./asteroids/gameover.c                              28             12            131
./asteroids/user_interface.c                        24             10            126
./asteroids/constants.h                             65             25            120
./asteroids/difficulty_menu.c                       16             12            116
./asteroids/constants.c                             57             25            115
./asteroids/skin_menu.c                             23             15            109
./asteroids/audio_manager.c                         27             11            108
./asteroids/currency.c                              11             15             75
./asteroids/pause.c                                 16              9             69
./asteroids/button.h                                11              9             57
./asteroids/obstacles.h                             12             15             52
./asteroids/particle.h                              12              2             50
./asteroids/enemy.h                                 13             12             48
./asteroids/score.c                                 12             14             45
./asteroids/final_boss.h                            15             13             42
./asteroids/player.h                                10             15             40
./asteroids/main.c                                  11             17             37
./asteroids/upgrades.h                               4             12             36
./asteroids/powerups.h                              14             21             31
./asteroids/main_menu.h                             10             19             30
./asteroids/game.h                                  12             12             30
./asteroids/upgrades_menu.h                          5             12             29
./asteroids/collider_circle.c                        7              9             26
./asteroids/bullet.h                                 4             15             24
./asteroids/help.h                                   5             11             23
./asteroids/sprite.c                                 4              9             21
./asteroids/score.h                                  6             17             21
./asteroids/file_manager.c                           6             10             19
./asteroids/skin_menu.h                              3             12             18
./asteroids/weapon.h                                 4              9             18
./asteroids/utility.h                                1             11             17
./asteroids/sprite.h                                 2              0             17
./asteroids/pause.h                                  3              0             16
./asteroids/audio_manager.h                          2              0             16
./asteroids/splash.c                                 3             10             16
./asteroids/collision_manager.h                      4             10             15
./asteroids/leaderboard.h                            3             12             14
./asteroids/bigboy.h                                 5             16             14
./asteroids/init.c                                   5              8             13
./asteroids/collider_aabb.c                          4             10             13
./asteroids/powerup_interaction.c                    4              0             12
./asteroids/collider_circle.h                        5              9             12
./asteroids/gameover.h                               4             12             12
./asteroids/user_interface.h                         4             10             11
./asteroids/difficulty_menu.h                        2             12             10
./asteroids/collider_aabb.h                          2              9              9
./asteroids/currency.h                               3             15              9
./asteroids/powerup_interaction.h                    2              2              9
./asteroids/state.h                                  1              9              7
./asteroids/engine.h                                 3              0              7
./asteroids/fuel.h                                   1              0              6
./asteroids/status.h                                 0              0              6
./asteroids/init.h                                   1              0              5
./asteroids/health.h                                 0              0              5
./asteroids/file_manager.h                           2             10              4
./asteroids/splash.h                                 0              9              3
------------------------------------------------------------------------------------
SUM:                                              1306            936           6316
------------------------------------------------------------------------------------
